Date,Close/Last,Volume,Open,High,Low
09/19/2023,$204.48,4043318,$205.395,$205.658,$202.39
09/18/2023,$205.12,4299153,$207.91,$207.91,$204.98
09/15/2023,$208.11,4670575,$209.28,$209.83,$206.88
09/14/2023,$209.05,3974820,$209.14,$210.44,$208.10
09/13/2023,$208.40,3538051,$210.00,$212.18,$207.75
09/12/2023,$210.65,3256455,$209.35,$212.26,$208.58
09/11/2023,$211.01,4522283,$213.76,$214.20,$208.77
09/08/2023,$211.27,5759415,$215.825,$216.00,$210.51
09/07/2023,$216.05,4929553,$217.50,$220.55,$214.86
09/06/2023,$217.95,4233537,$221.77,$222.7878,$216.4249
09/05/2023,$222.57,3246492,$223.10,$224.0916,$221.20
09/01/2023,$223.40,3658370,$226.00,$226.23,$221.95
08/31/2023,$224.03,6953815,$229.33,$230.4339,$222.93
08/30/2023,$228.85,3328306,$227.08,$231.17,$226.65
08/29/2023,$227.25,3716672,$225.88,$229.40,$225.6638
08/28/2023,$227.06,4641752,$224.21,$227.45,$223.2901
08/25/2023,$223.41,12352320,$218.41,$223.77,$212.8801
08/24/2023,$217.31,9132572,$222.51,$224.20,$217.09
08/23/2023,$228.58,3004522,$230.00,$230.54,$227.105
08/22/2023,$230.07,3012891,$228.08,$230.48,$226.93
08/21/2023,$227.22,2734616,$226.80,$227.6899,$225.1006
08/18/2023,$226.65,3583165,$222.23,$226.79,$221.68
08/17/2023,$224.54,4359411,$230.57,$231.64,$224.26
08/16/2023,$229.95,2273333,$231.50,$234.67,$229.6002
08/15/2023,$232.26,3201850,$235.00,$235.56,$231.5401
08/14/2023,$236.71,2486316,$237.00,$238.65,$235.75
08/11/2023,$235.72,2652074,$237.61,$238.26,$235.12
08/10/2023,$238.26,3710810,$238.45,$241.58,$237.04
08/09/2023,$237.86,4044412,$238.54,$241.24,$236.4061
08/08/2023,$238.04,5149186,$236.52,$240.73,$236.00
08/07/2023,$238.25,6068011,$232.74,$238.98,$232.74
08/04/2023,$231.36,3500705,$232.29,$234.91,$230.08
08/03/2023,$231.36,3285836,$231.00,$233.577,$230.40
08/02/2023,$231.38,5332961,$234.985,$236.68,$230.69
08/01/2023,$238.01,4983841,$237.55,$243.10,$237.31
07/31/2023,$238.85,4897581,$238.99,$239.07,$236.21
07/28/2023,$238.69,7059533,$236.12,$240.13,$235.70
07/27/2023,$233.75,12018320,$235.245,$238.67,$231.83
07/26/2023,$232.80,24923800,$222.16,$233.09,$221.77
07/25/2023,$214.12,6513323,$214.20,$214.82,$210.81
07/24/2023,$215.87,4898342,$212.06,$215.94,$211.46
07/21/2023,$211.80,4056796,$213.89,$215.60,$211.64
07/20/2023,$213.61,5782187,$208.83,$215.10,$208.80
07/19/2023,$208.60,4814145,$211.12,$211.87,$208.235
07/18/2023,$211.57,5895773,$211.00,$213.04,$209.5699
07/17/2023,$211.87,3621509,$212.50,$214.23,$211.735
07/14/2023,$213.12,4294849,$217.00,$217.016,$212.81
07/13/2023,$216.85,4291709,$218.13,$218.90,$216.30
07/12/2023,$217.11,5123178,$219.51,$221.56,$216.92
07/11/2023,$218.76,7458378,$212.915,$218.98,$211.35
07/10/2023,$213.31,3497125,$211.84,$213.59,$211.22
07/07/2023,$212.10,4893550,$212.94,$215.66,$211.83
07/06/2023,$212.62,4683145,$212.48,$213.61,$209.58
07/05/2023,$213.31,4928368,$210.00,$214.28,$207.89
07/03/2023,$210.92,2143048,$210.50,$212.1686,$210.24
06/30/2023,$211.16,5488713,$213.14,$213.24,$209.38
06/29/2023,$211.83,3443612,$211.12,$213.22,$210.23
06/28/2023,$210.72,4276103,$211.21,$212.19,$209.45
06/27/2023,$209.43,4465456,$206.15,$209.66,$206.08
06/26/2023,$205.58,3444885,$206.11,$207.09,$204.66
06/23/2023,$205.41,6338199,$204.02,$205.61,$202.55
06/22/2023,$205.61,7066256,$205.61,$208.4999,$203.65
06/21/2023,$212.08,5356372,$211.83,$212.99,$209.3875
06/20/2023,$212.37,8226380,$218.89,$219.29,$211.88
06/16/2023,$219.99,7803924,$220.72,$223.87,$218.975
06/15/2023,$219.41,5001432,$217.17,$220.61,$215.31
06/14/2023,$216.90,5629070,$221.40,$221.585,$216.0313
06/13/2023,$220.38,5880966,$222.35,$223.12,$219.35
06/12/2023,$221.56,8072612,$217.16,$223.91,$216.63
06/09/2023,$217.31,5300206,$217.99,$219.1574,$215.69
06/08/2023,$218.11,9364667,$212.34,$220.00,$212.05
06/07/2023,$211.93,6462432,$207.99,$212.38,$207.20
06/06/2023,$207.29,10957200,$208.37,$211.68,$200.61
06/05/2023,$208.78,4996838,$213.28,$210.44,$207.50
06/02/2023,$213.32,7486308,$210.00,$215.24,$210.00
06/01/2023,$207.96,5125109,$206.46,$210.23,$206.00
05/31/2023,$205.70,5461557,$203.50,$206.19,$200.91
05/30/2023,$204.69,3978166,$204.09,$207.7999,$203.3101
05/26/2023,$203.63,3820301,$201.60,$204.80,$201.18
05/25/2023,$200.87,3909225,$199.99,$201.75,$196.60
05/24/2023,$199.27,4371635,$201.32,$201.32,$197.50
05/23/2023,$202.60,4011110,$204.58,$207.4891,$202.445
05/22/2023,$205.91,3094296,$205.51,$206.98,$203.90
05/19/2023,$205.49,3896195,$208.11,$208.37,$204.63
05/18/2023,$207.24,4349708,$206.45,$208.17,$204.01
05/17/2023,$206.87,6641940,$202.71,$208.58,$202.71
05/16/2023,$200.87,3013181,$201.82,$202.36,$199.9401
05/15/2023,$202.77,2842669,$200.01,$203.32,$198.65
05/12/2023,$200.70,3169771,$201.84,$203.11,$198.82
05/11/2023,$201.84,3322037,$199.39,$202.55,$198.07
05/10/2023,$200.84,3923706,$203.14,$203.20,$198.25
05/09/2023,$201.88,9329516,$201.21,$204.61,$198.78
05/08/2023,$197.26,4677387,$199.16,$199.66,$196.40
05/05/2023,$198.34,3872233,$198.09,$199.04,$196.76
05/04/2023,$197.05,6934072,$200.65,$201.25,$193.27
05/03/2023,$200.93,4537939,$204.36,$206.1014,$200.55
05/02/2023,$203.25,3970843,$203.00,$204.19,$200.09
05/01/2023,$203.87,3776842,$206.25,$208.52,$203.62
04/28/2023,$206.78,3716063,$204.51,$206.95,$202.90
04/27/2023,$206.04,5105173,$204.65,$209.09,$203.53
04/26/2023,$203.03,9137206,$208.25,$211.70,$202.68
04/25/2023,$202.19,4699498,$204.54,$204.94,$201.12
04/24/2023,$205.77,3058925,$204.87,$206.50,$203.25
04/21/2023,$205.15,3432331,$208.00,$208.376,$204.18
04/20/2023,$207.23,3322910,$207.42,$209.88,$206.0776
04/19/2023,$208.71,4757402,$207.12,$210.87,$206.94
04/18/2023,$208.37,7445759,$205.50,$208.9356,$203.72
04/17/2023,$205.03,6306803,$202.00,$206.10,$200.80
04/14/2023,$201.71,19066480,$202.59,$204.2819,$198.1541
04/13/2023,$213.59,4501594,$213.00,$213.68,$211.495
04/12/2023,$212.34,4600326,$213.66,$214.30,$210.13
04/11/2023,$212.32,5277549,$213.29,$214.50,$211.86
04/10/2023,$210.78,3729340,$211.00,$214.10,$209.73
04/06/2023,$211.37,5618125,$210.00,$212.37,$208.22
04/05/2023,$210.00,4138426,$212.23,$214.23,$208.671
04/04/2023,$213.90,6192254,$212.00,$213.99,$209.12
04/03/2023,$215.39,6085935,$212.80,$218.57,$212.53
03/31/2023,$212.43,5147549,$211.75,$214.80,$211.39
03/30/2023,$211.04,6583391,$208.97,$212.8699,$206.5207
03/29/2023,$207.97,3572163,$206.50,$208.6467,$205.88
03/28/2023,$204.96,5460587,$200.82,$206.30,$200.485
03/27/2023,$200.57,3891702,$198.63,$201.55,$198.63
03/24/2023,$197.53,4513512,$195.50,$197.57,$193.9202
03/23/2023,$197.90,6266894,$197.90,$201.50,$195.14
03/22/2023,$196.16,7311578,$203.68,$203.83,$196.01
03/21/2023,$204.70,4673304,$207.30,$207.86,$203.89
03/20/2023,$204.77,4763997,$201.12,$205.87,$200.87
03/17/2023,$201.05,9858936,$201.35,$202.8336,$199.00
03/16/2023,$203.19,6752125,$196.205,$203.9104,$194.43
03/15/2023,$198.21,10894230,$201.92,$202.2077,$192.41
03/14/2023,$207.28,8245664,$207.53,$213.5599,$205.00
03/13/2023,$203.37,6671174,$200.20,$207.08,$197.11
03/10/2023,$203.07,8547078,$201.43,$205.00,$197.79
03/09/2023,$201.24,4284026,$208.32,$209.02,$200.30
03/08/2023,$207.20,2406897,$208.25,$208.88,$205.94
03/07/2023,$207.92,4619710,$211.31,$213.175,$207.775
03/06/2023,$211.92,7004436,$214.12,$214.75,$209.60
03/03/2023,$215.11,7496846,$210.25,$216.12,$209.40
03/02/2023,$210.06,5454074,$203.78,$210.33,$203.15
03/01/2023,$204.55,4402266,$201.47,$205.435,$200.85
02/28/2023,$201.55,3589900,$201.00,$202.38,$199.32
02/27/2023,$200.46,4318866,$199.87,$203.1259,$199.06
02/24/2023,$198.15,9658678,$200.00,$201.70,$197.36
02/23/2023,$208.13,4139351,$207.45,$209.692,$205.76
02/22/2023,$205.76,2920010,$205.31,$207.665,$204.65
02/21/2023,$205.52,4663756,$208.99,$210.84,$205.05
02/17/2023,$211.66,4985686,$211.21,$211.76,$207.6196
02/16/2023,$212.21,4387973,$215.00,$216.52,$212.17
02/15/2023,$217.44,4852436,$217.16,$218.25,$214.60
02/14/2023,$218.45,10033120,$214.02,$221.33,$213.15
02/13/2023,$215.65,5193329,$213.60,$216.355,$211.50
02/10/2023,$212.89,4862940,$212.01,$214.50,$210.50
02/09/2023,$211.99,5018879,$214.46,$215.4521,$210.06
02/08/2023,$213.50,4229794,$213.07,$215.77,$211.78
02/07/2023,$214.76,7311187,$208.04,$215.15,$206.92
02/06/2023,$206.81,3903023,$205.19,$208.21,$203.69
02/03/2023,$206.01,5400280,$207.71,$210.75,$205.618
02/02/2023,$209.34,6513357,$215.15,$215.29,$208.30
02/01/2023,$214.75,8462076,$212.11,$218.97,$211.90
01/31/2023,$213.00,5162983,$210.15,$213.11,$208.24
01/30/2023,$209.67,6066779,$209.19,$211.36,$207.71
01/27/2023,$211.17,5237944,$211.32,$212.88,$209.42
01/26/2023,$212.73,7288144,$213.48,$213.79,$207.20
01/25/2023,$212.68,16106550,$205.80,$214.75,$203.11
01/24/2023,$211.98,4753694,$205.00,$212.15,$205.00
01/23/2023,$209.97,5481938,$208.36,$211.09,$206.99
01/20/2023,$206.76,5475404,$207.47,$207.99,$204.78
01/19/2023,$207.09,5813518,$206.77,$209.67,$204.82
01/18/2023,$209.41,5403094,$212.90,$213.4245,$209.20
01/17/2023,$211.41,6150658,$212.71,$213.34,$209.07
01/13/2023,$214.13,6213161,$212.00,$216.64,$211.58
01/12/2023,$214.32,8208101,$209.58,$214.92,$207.3701
01/11/2023,$208.03,7190749,$209.87,$210.47,$206.69
01/10/2023,$206.69,8183236,$203.90,$209.6022,$203.4608
01/09/2023,$208.57,9005601,$212.36,$213.88,$207.91
01/06/2023,$213.00,11256440,$205.30,$213.04,$203.55
01/05/2023,$204.99,6913273,$201.72,$204.99,$200.78
01/04/2023,$203.64,9746939,$195.18,$203.76,$195.1758
01/03/2023,$195.39,8624570,$192.95,$197.175,$192.40
12/30/2022,$190.49,4007419,$187.50,$190.65,$187.04
12/29/2022,$188.91,4518946,$189.00,$190.25,$186.19
12/28/2022,$188.38,4426251,$189.32,$191.32,$187.425
12/27/2022,$189.40,5014846,$189.58,$192.44,$187.6169
12/23/2022,$189.06,3983591,$188.25,$189.43,$184.72
12/22/2022,$188.25,6928514,$193.82,$194.17,$185.67
12/21/2022,$196.00,9175376,$190.04,$196.40,$189.72
12/20/2022,$188.29,6156847,$186.18,$189.91,$185.74
12/19/2022,$185.68,6605378,$184.92,$188.04,$184.71
12/16/2022,$184.70,7906778,$182.79,$186.61,$181.295
12/15/2022,$183.72,5347787,$186.25,$187.975,$181.2801
12/14/2022,$188.25,5814881,$187.33,$189.67,$185.41
12/13/2022,$187.13,10975250,$191.11,$191.11,$184.85
12/12/2022,$186.27,8098395,$180.80,$186.69,$180.50
12/09/2022,$179.54,6359002,$180.75,$183.89,$179.2501
12/08/2022,$179.08,6707652,$179.32,$184.88,$178.61
12/07/2022,$176.50,5871242,$176.28,$178.43,$174.62
12/06/2022,$178.43,8236878,$184.01,$184.79,$177.01
12/05/2022,$185.10,10456280,$182.00,$188.4499,$180.8002
12/02/2022,$182.87,10563840,$173.12,$183.45,$172.85
12/01/2022,$175.78,4517476,$178.88,$179.70,$174.69
11/30/2022,$178.88,6778734,$178.00,$179.98,$174.2005
11/29/2022,$175.32,5077828,$172.88,$175.95,$172.56
11/28/2022,$171.83,5358932,$176.17,$177.14,$171.70
11/25/2022,$178.36,3476919,$174.35,$178.46,$174.0301
11/23/2022,$174.85,3523516,$172.09,$175.00,$171.77
11/22/2022,$172.50,4370635,$173.65,$174.99,$171.00
11/21/2022,$172.94,3501842,$172.53,$174.72,$171.12
11/18/2022,$173.89,4693178,$173.98,$175.1899,$171.53
11/17/2022,$172.78,4881887,$169.30,$173.15,$168.52
11/16/2022,$172.69,4438554,$174.11,$174.79,$171.85
11/15/2022,$175.35,7207867,$175.49,$176.69,$172.75
11/14/2022,$173.55,5598338,$176.50,$178.19,$173.50
11/11/2022,$177.49,8894308,$176.40,$178.0299,$172.99
11/10/2022,$177.58,12374960,$172.14,$179.32,$171.75
11/09/2022,$168.74,8893769,$169.29,$171.62,$166.86
11/08/2022,$169.62,11274520,$166.00,$170.55,$164.9117
11/07/2022,$164.91,10220310,$161.40,$166.6999,$160.63
11/04/2022,$160.01,9396185,$156.66,$160.98,$154.495
11/03/2022,$156.75,16212570,$148.79,$158.69,$147.50
11/02/2022,$147.41,20241980,$142.12,$153.59,$141.54
11/01/2022,$143.38,5758566,$143.99,$145.25,$141.835
10/31/2022,$142.51,6212198,$141.88,$144.449,$139.52
10/28/2022,$143.84,7941087,$141.16,$144.73,$139.9314
10/27/2022,$139.76,13754940,$137.10,$143.1024,$136.6201
10/26/2022,$133.79,29457730,$147.05,$150.14,$132.205
10/25/2022,$146.65,6515643,$142.09,$146.88,$141.88
10/24/2022,$142.05,5177845,$142.85,$142.88,$139.2815
10/21/2022,$141.32,5451265,$138.48,$141.33,$136.62
10/20/2022,$139.13,4331680,$138.36,$141.88,$138.36
10/19/2022,$138.39,6321910,$137.17,$141.20,$136.63
10/18/2022,$137.34,6146349,$139.00,$139.42,$135.22
10/17/2022,$136.09,9073526,$136.98,$137.28,$133.2601
10/14/2022,$133.15,6099656,$135.59,$136.41,$131.37
10/13/2022,$132.40,7842266,$126.50,$134.70,$124.17
10/12/2022,$130.42,6392973,$128.43,$131.34,$127.86
10/11/2022,$131.57,8508386,$132.96,$135.36,$129.5101
10/10/2022,$131.90,6829914,$131.42,$135.74,$130.2007
10/07/2022,$129.79,5097386,$130.36,$130.607,$128.02
10/06/2022,$132.20,4454674,$131.13,$133.3099,$129.7407
10/05/2022,$132.11,6268322,$130.28,$133.55,$128.26
10/04/2022,$133.51,7235737,$129.40,$133.57,$129.33
10/03/2022,$126.05,7962384,$122.00,$127.15,$121.02
09/30/2022,$121.08,8382981,$123.14,$125.475,$120.99
09/29/2022,$125.33,8905426,$131.20,$131.61,$123.80
09/28/2022,$133.44,10257200,$128.04,$133.89,$127.40
